check_name,subject,result_count,result_kind
check_name,subject,result_count,result_kind
duplicate_canonical_country_code,core.countries,0,count
check_name,subject,result_count,result_kind
uk_country_code_observed,core.countries,1,count
check_name,subject,result_count,result_kind
orphan_campus,catalog.campuses,0,count
check_name,subject,result_count,result_kind
orphan_programme,catalog.programmes,0,count
check_name,subject,result_count,result_kind
orphan_programme_offering,catalog.programme_offerings,0,count
check_name,subject,result_count,result_kind
orphan_programme_identifier,catalog.programme_identifiers,0,count
check_name,subject,result_count,result_kind
orphan_occupation_identifier,taxonomy.occupation_identifiers,0,count
check_name,subject,result_count,result_kind
orphan_source_snapshot,evidence.source_snapshots,0,count
check_name,subject,result_count,result_kind
metric_observation_without_source,evidence.metric_observations,0,count
check_name,subject,result_count,result_kind
verified_without_reviewed_date,evidence.metric_observations,4,count
check_name,subject,result_count,result_kind
duplicate_programme_title,catalog.programmes,732,count
