entity,country_code,actual_count,count_status,resolution_status,observation_source
countries,AU,,unavailable,resolved,static_migration_analysis
countries,GB,,unavailable,resolved,static_migration_analysis
countries,US,,unavailable,resolved,static_migration_analysis
countries,CA,,unavailable,resolved,static_migration_analysis
countries,IE,,unavailable,resolved,static_migration_analysis
geographies,AU,,unavailable,resolved,static_migration_analysis
geographies,GB,,unavailable,resolved,static_migration_analysis
geographies,US,,unavailable,resolved,static_migration_analysis
geographies,CA,,unavailable,resolved,static_migration_analysis
geographies,IE,,unavailable,resolved,static_migration_analysis
institutions,AU,,unavailable,resolved,static_migration_analysis
institutions,GB,,unavailable,resolved,static_migration_analysis
institutions,US,,unavailable,resolved,static_migration_analysis
institutions,CA,,unavailable,resolved,static_migration_analysis
institutions,IE,,unavailable,resolved,static_migration_analysis
campuses,AU,,unavailable,resolved,static_migration_analysis
campuses,GB,,unavailable,resolved,static_migration_analysis
campuses,US,,unavailable,resolved,static_migration_analysis
campuses,CA,,unavailable,resolved,static_migration_analysis
campuses,IE,,unavailable,resolved,static_migration_analysis
programmes,AU,,unavailable,resolved_via_institutions,static_migration_analysis
programmes,GB,,unavailable,resolved_via_institutions,static_migration_analysis
programmes,US,,unavailable,resolved_via_institutions,static_migration_analysis
programmes,CA,,unavailable,resolved_via_institutions,static_migration_analysis
programmes,IE,,unavailable,resolved_via_institutions,static_migration_analysis
programme_offerings,AU,,unavailable,resolved_via_programmes,static_migration_analysis
programme_offerings,GB,,unavailable,resolved_via_programmes,static_migration_analysis
programme_offerings,US,,unavailable,resolved_via_programmes,static_migration_analysis
programme_offerings,CA,,unavailable,resolved_via_programmes,static_migration_analysis
programme_offerings,IE,,unavailable,resolved_via_programmes,static_migration_analysis
programme_fees,AU,,unavailable,resolved_via_offerings,static_migration_analysis
programme_fees,GB,,unavailable,resolved_via_offerings,static_migration_analysis
programme_fees,US,,unavailable,resolved_via_offerings,static_migration_analysis
programme_fees,CA,,unavailable,resolved_via_offerings,static_migration_analysis
programme_fees,IE,,unavailable,resolved_via_offerings,static_migration_analysis
programme_identifiers,AU,,unavailable,resolved_via_programmes,static_migration_analysis
programme_identifiers,GB,,unavailable,resolved_via_programmes,static_migration_analysis
programme_identifiers,US,,unavailable,resolved_via_programmes,static_migration_analysis
programme_identifiers,CA,,unavailable,resolved_via_programmes,static_migration_analysis
programme_identifiers,IE,,unavailable,resolved_via_programmes,static_migration_analysis
occupations,AU,,unavailable,resolved,static_migration_analysis
occupations,GB,,unavailable,resolved,static_migration_analysis
occupations,US,,unavailable,resolved,static_migration_analysis
occupations,CA,,unavailable,resolved,static_migration_analysis
occupations,IE,,unavailable,resolved,static_migration_analysis
occupation_identifiers,AU,,unavailable,resolved_via_occupations,static_migration_analysis
occupation_identifiers,GB,,unavailable,resolved_via_occupations,static_migration_analysis
occupation_identifiers,US,,unavailable,resolved_via_occupations,static_migration_analysis
occupation_identifiers,CA,,unavailable,resolved_via_occupations,static_migration_analysis
occupation_identifiers,IE,,unavailable,resolved_via_occupations,static_migration_analysis
sources,AU,,unavailable,resolved,static_migration_analysis
sources,GB,,unavailable,resolved,static_migration_analysis
sources,US,,unavailable,resolved,static_migration_analysis
sources,CA,,unavailable,resolved,static_migration_analysis
sources,IE,,unavailable,resolved,static_migration_analysis
source_snapshots,AU,,unavailable,resolved_via_sources,static_migration_analysis
source_snapshots,GB,,unavailable,resolved_via_sources,static_migration_analysis
source_snapshots,US,,unavailable,resolved_via_sources,static_migration_analysis
source_snapshots,CA,,unavailable,resolved_via_sources,static_migration_analysis
source_snapshots,IE,,unavailable,resolved_via_sources,static_migration_analysis
metric_observations,AU,,unavailable,resolved_via_source_snapshots,static_migration_analysis
metric_observations,GB,,unavailable,resolved_via_source_snapshots,static_migration_analysis
metric_observations,US,,unavailable,resolved_via_source_snapshots,static_migration_analysis
metric_observations,CA,,unavailable,resolved_via_source_snapshots,static_migration_analysis
metric_observations,IE,,unavailable,resolved_via_source_snapshots,static_migration_analysis
source_register_records,AU,,unavailable,resolved_via_metric_observations,static_migration_analysis
source_register_records,GB,,unavailable,resolved_via_metric_observations,static_migration_analysis
source_register_records,US,,unavailable,resolved_via_metric_observations,static_migration_analysis
source_register_records,CA,,unavailable,resolved_via_metric_observations,static_migration_analysis
source_register_records,IE,,unavailable,resolved_via_metric_observations,static_migration_analysis
labour_outcome_observations,AU,,unavailable,resolved,static_migration_analysis
